LOW_ESTIMATE,HIGH_ESTIMATE,MEAN_ESTIMATE,DURATION,DISTANCE,CATEGORY
11.0,15.0,13.0,720,3.78,uberX
13.0,17.0,15.0,720,3.78,UberSELECT
15.0,19.0,17.0,1020,5.39,uberX
18.0,23.0,20.5,1020,5.39,UberSELECT
10.0,14.0,12.0,600,3.63,uberX
12.0,16.0,14.0,600,3.63,UberSELECT
12.0,16.0,14.0,960,4.35,uberX
15.0,19.0,17.0,960,4.35,UberSELECT
27.0,34.0,30.5,1860,10.41,uberX
32.0,40.0,36.0,1860,10.41,UberSELECT
10.0,14.0,12.0,600,3.63,uberX
12.0,16.0,14.0,600,3.63,UberSELECT
29.0,37.0,33.0,2040,11.34,uberX
35.0,44.0,39.5,2040,11.34,UberSELECT
16.0,21.0,18.5,1140,5.68,uberX
19.0,24.0,21.5,1140,5.68,UberSELECT
13.0,16.0,14.5,840,4.26,uberX
15.0,19.0,17.0,840,4.26,UberSELECT
27.0,34.0,30.5,2100,10.49,uberX
32.0,40.0,36.0,2100,10.49,UberSELECT
26.0,33.0,29.5,2040,10.34,uberX
31.0,39.0,35.0,2040,10.34,UberSELECT
12.0,15.0,13.5,840,3.88,uberX
14.0,18.0,16.0,840,3.88,UberSELECT
13.0,17.0,15.0,900,4.42,uberX
16.0,20.0,18.0,900,4.42,UberSELECT
11.0,15.0,13.0,720,3.59,uberX
13.0,17.0,15.0,720,3.59,UberSELECT
17.0,22.0,19.5,1140,6.79,uberX
21.0,27.0,24.0,1140,6.79,UberSELECT
13.0,17.0,15.0,780,4.94,uberX
15.0,20.0,17.5,780,4.94,UberSELECT
27.0,34.0,30.5,2040,10.5,uberX
32.0,40.0,36.0,2040,10.5,UberSELECT
29.0,37.0,33.0,2160,12.13,uberX
35.0,44.0,39.5,2160,12.13,UberSELECT
27.0,34.0,30.5,1980,10.99,uberX
32.0,41.0,36.5,1980,10.99,UberSELECT
6.0,8.0,7.0,180,0.96,uberX
6.0,9.0,7.5,180,0.96,UberSELECT
16.0,21.0,18.5,1260,5.96,uberX
19.0,25.0,22.0,1260,5.96,UberSELECT
11.0,14.0,12.5,720,3.49,uberX
13.0,17.0,15.0,720,3.49,UberSELECT
15.0,19.0,17.0,1140,5.33,uberX
17.0,22.0,19.5,1140,5.33,UberSELECT
15.0,20.0,17.5,1020,5.46,uberX
18.0,23.0,20.5,1020,5.46,UberSELECT
12.0,16.0,14.0,900,3.95,uberX
14.0,19.0,16.5,900,3.95,UberSELECT
27.0,34.0,30.5,2040,11.27,uberX
33.0,41.0,37.0,2040,11.27,UberSELECT
12.0,15.0,13.5,720,4.21,uberX
14.0,18.0,16.0,720,4.21,UberSELECT
12.0,16.0,14.0,900,4.31,uberX
15.0,19.0,17.0,900,4.31,UberSELECT
10.0,14.0,12.0,660,3.63,uberX
12.0,16.0,14.0,660,3.63,UberSELECT
16.0,20.0,18.0,1140,5.77,uberX
22.0,28.0,25.0,1140,5.77,UberSELECT
25.0,32.0,28.5,1860,10.12,uberX
36.0,46.0,41.0,1860,10.12,UberSELECT
10.0,14.0,12.0,660,3.58,uberX
15.0,19.0,17.0,660,3.58,UberSELECT
12.0,16.0,14.0,900,4.31,uberX
19.0,24.0,21.5,900,4.31,UberSELECT
9.0,12.0,10.5,540,2.92,uberX
13.0,17.0,15.0,540,2.92,UberSELECT
15.0,20.0,17.5,1080,5.37,uberX
18.0,23.0,20.5,1080,5.37,UberSELECT
17.0,22.0,19.5,1140,6.79,uberX
21.0,26.0,23.5,1140,6.79,UberSELECT
10.0,14.0,12.0,780,3.27,uberX
12.0,16.0,14.0,780,3.27,UberSELECT
14.0,18.0,16.0,840,5.08,uberX
16.0,21.0,18.5,840,5.08,UberSELECT
11.0,14.0,12.5,720,3.69,uberX
13.0,17.0,15.0,720,3.69,UberSELECT
15.0,19.0,17.0,1140,5.23,uberX
18.0,23.0,20.5,1140,5.23,UberSELECT
15.0,19.0,17.0,1380,4.54,uberX
17.0,22.0,19.5,1380,4.54,UberSELECT
25.0,31.0,28.0,1440,10.68,uberX
29.0,37.0,33.0,1440,10.68,UberSELECT
22.0,28.0,25.0,1560,8.42,uberX
26.0,33.0,29.5,1560,8.42,UberSELECT
15.0,19.0,17.0,1380,4.54,uberX
17.0,22.0,19.5,1380,4.54,UberSELECT
11.0,14.0,12.5,660,3.62,uberX
